,年龄,工作,婚姻状况,学历,信用违约,房贷,个人贷款,通讯类型,联系日期,联系月份,通话时间,联系次数,距离上次联系的天数,活动前联系次数,上次营销活动的结果,本次活动结果
3276,35,企业家,已婚,高等教育,否,是,是,手机,8,八月,275,4,-1,0,未知,否
3277,44,管理者,已婚,中学,否,是,否,未知,8,五月,128,3,-1,0,未知,否
3278,59,企业家,已婚,小学,否,否,否,座机,19,十一月,207,2,153,1,失败,否
3279,31,蓝领,单身,高等教育,否,是,否,未知,23,五月,146,3,-1,0,未知,否
3280,60,蓝领,已婚,未知,否,是,否,未知,5,五月,22,1,-1,0,未知,否
3281,33,技术人员,单身,中学,否,是,否,手机,18,五月,239,2,349,3,成功,否
3282,45,行政,已婚,中学,否,是,否,手机,23,七月,92,1,-1,0,未知,否
3283,45,蓝领,已婚,小学,否,是,否,未知,19,五月,149,4,-1,0,未知,否
3284,57,行政,已婚,中学,否,否,否,座机,16,十一月,107,2,-1,0,未知,否
3285,36,管理者,已婚,高等教育,否,否,否,手机,7,八月,71,2,-1,0,未知,否
3286,30,蓝领,单身,小学,否,是,否,未知,19,五月,122,6,-1,0,未知,否
3287,30,行政,单身,中学,否,是,否,手机,18,五月,16,6,368,1,其他,否
3288,59,没工作,离异,中学,否,否,否,座机,3,二月,251,1,-1,0,未知,否
3289,58,管理者,已婚,高等教育,否,否,否,座机,17,十一月,215,3,-1,0,未知,否
3290,49,已退休,已婚,小学,否,否,否,手机,17,七月,128,3,-1,0,未知,否
3291,48,技术人员,已婚,高等教育,否,否,否,手机,18,八月,445,3,-1,0,未知,否
3292,28,技术人员,单身,高等教育,否,否,否,手机,2,三月,76,2,-1,0,未知,否
3293,59,管理者,离异,小学,否,是,否,手机,9,七月,206,1,-1,0,未知,否
3294,40,管理者,已婚,高等教育,否,是,是,手机,18,十一月,155,1,-1,0,未知,否
3295,32,技术人员,离异,中学,否,是,否,手机,4,二月,429,1,201,1,失败,否
3296,58,蓝领,已婚,中学,否,否,是,未知,5,六月,133,1,-1,0,未知,否
3297,28,个体户,单身,高等教育,否,否,否,手机,19,六月,474,3,95,3,其他,是
3298,27,技术人员,单身,高等教育,否,是,否,手机,15,五月,578,1,364,1,其他,否
3299,38,管理者,单身,高等教育,否,是,否,手机,6,五月,17,3,169,2,失败,否
3300,53,技术人员,已婚,高等教育,否,是,否,未知,11,六月,74,1,-1,0,未知,否
3301,60,服务业,已婚,高等教育,否,是,否,手机,16,八月,239,3,761,1,其他,是
3302,33,管理者,离异,高等教育,否,是,是,手机,19,八月,275,8,-1,0,未知,否
3303,52,服务业,离异,中学,否,是,否,手机,6,五月,101,1,362,5,其他,否
3304,64,已退休,已婚,高等教育,否,否,否,手机,11,二月,671,1,181,3,失败,是
3305,40,蓝领,单身,中学,否,否,否,手机,19,十一月,998,1,-1,0,未知,是
3306,52,行政,已婚,中学,否,否,否,未知,12,六月,271,1,-1,0,未知,否
3307,28,学生,单身,中学,否,是,否,未知,15,五月,133,3,-1,0,未知,否
3308,49,管理者,已婚,中学,否,是,否,未知,4,六月,84,2,-1,0,未知,否
3309,28,技术人员,单身,中学,否,是,否,手机,7,五月,281,1,-1,0,未知,否
3310,29,技术人员,单身,高等教育,否,是,否,未知,3,六月,250,1,-1,0,未知,否
3311,87,已退休,已婚,小学,否,否,否,手机,30,十月,144,1,-1,0,未知,是
3312,37,管理者,离异,中学,否,是,否,手机,14,五月,432,1,-1,0,未知,否
3313,36,服务业,已婚,小学,否,否,否,未知,9,六月,411,1,-1,0,未知,否
3314,35,个体户,已婚,高等教育,否,否,否,手机,2,八月,428,2,336,6,失败,否
3315,33,行政,已婚,高等教育,否,是,否,手机,22,十月,249,2,335,2,失败,是
3316,60,行政,已婚,中学,否,否,否,手机,19,八月,235,3,-1,0,未知,否
3317,25,管理者,单身,高等教育,否,否,否,手机,18,九月,267,2,114,2,失败,是
3318,69,已退休,已婚,中学,否,否,否,座机,9,九月,595,1,-1,0,未知,否
3319,41,学生,已婚,中学,否,否,否,未知,20,六月,28,4,-1,0,未知,否
3320,48,管理者,单身,中学,否,是,否,手机,21,七月,257,2,-1,0,未知,否
3321,35,蓝领,离异,小学,否,是,否,手机,31,七月,630,6,-1,0,未知,是
3322,30,蓝领,单身,中学,否,是,否,未知,20,五月,747,5,-1,0,未知,否
3323,59,管理者,已婚,高等教育,否,否,否,手机,27,八月,87,4,-1,0,未知,否
3324,32,管理者,单身,高等教育,否,否,否,未知,29,五月,187,3,-1,0,未知,否
3325,28,蓝领,单身,中学,否,是,否,未知,13,五月,452,2,-1,0,未知,否
3326,60,蓝领,已婚,小学,否,否,否,未知,20,六月,36,4,-1,0,未知,否
3327,36,管理者,已婚,小学,否,是,否,手机,19,十一月,277,1,-1,0,未知,否
3328,32,管理者,单身,高等教育,否,是,否,手机,5,五月,118,1,-1,0,未知,否
3329,34,管理者,离异,高等教育,否,是,是,手机,20,十一月,197,2,-1,0,未知,否
3330,58,蓝领,已婚,中学,否,否,是,手机,14,四月,101,5,-1,0,未知,否
3331,53,管理者,已婚,未知,否,是,否,手机,2,六月,282,2,385,1,成功,是
3332,31,管理者,已婚,高等教育,否,是,否,手机,14,五月,8,6,267,4,失败,否
3333,33,行政,已婚,中学,否,是,否,座机,17,七月,1448,7,-1,0,未知,是
3334,46,没工作,离异,小学,否,否,否,手机,21,十一月,344,1,-1,0,未知,否
3335,29,蓝领,已婚,中学,否,是,否,手机,11,五月,12,8,342,9,失败,否
3336,37,个体户,已婚,中学,否,是,否,未知,6,六月,61,1,-1,0,未知,否
3337,58,蓝领,已婚,小学,否,是,否,未知,20,五月,91,6,-1,0,未知,否
3338,34,管理者,已婚,中学,否,是,否,未知,21,五月,162,3,-1,0,未知,否
3339,34,蓝领,离异,中学,否,否,是,未知,21,五月,339,1,-1,0,未知,否
3340,49,企业家,已婚,小学,否,否,否,未知,13,五月,113,2,-1,0,未知,否
3341,53,行政,已婚,中学,否,否,否,手机,5,四月,558,1,-1,0,未知,是
3342,42,没工作,已婚,中学,否,是,否,未知,30,五月,69,1,-1,0,未知,否
3343,40,服务业,已婚,中学,否,是,是,手机,13,五月,541,1,295,6,失败,否
3344,30,蓝领,单身,小学,否,否,否,手机,21,十一月,429,1,-1,0,未知,否
3345,31,技术人员,离异,中学,否,是,否,未知,4,六月,135,2,-1,0,未知,否
3346,55,行政,已婚,中学,否,是,否,手机,27,十月,96,1,111,3,失败,否
3347,36,管理者,已婚,高等教育,否,是,否,手机,20,四月,68,2,-1,0,未知,否
3348,31,蓝领,单身,中学,否,否,否,手机,7,五月,529,2,-1,0,未知,否
3349,26,管理者,已婚,高等教育,否,否,否,手机,30,一月,650,2,-1,0,未知,否
3350,31,行政,已婚,中学,否,是,否,手机,7,十二月,69,1,185,2,失败,否
3351,49,行政,已婚,中学,否,是,是,手机,29,七月,71,7,-1,0,未知,否
3352,54,管理者,已婚,高等教育,否,是,否,手机,12,五月,30,7,-1,0,未知,否
3353,47,管理者,离异,高等教育,否,是,否,手机,31,七月,9,19,-1,0,未知,否
3354,61,管理者,已婚,中学,否,否,否,手机,12,八月,331,2,-1,0,未知,否
3355,49,蓝领,已婚,小学,否,是,否,未知,12,六月,66,1,-1,0,未知,否
3356,51,技术人员,已婚,中学,否,是,否,手机,20,十一月,26,6,-1,0,未知,否
3357,53,蓝领,已婚,小学,否,是,否,未知,6,五月,266,3,-1,0,未知,否
3358,35,管理者,已婚,高等教育,否,否,否,手机,21,十一月,168,2,-1,0,未知,否
3359,25,没工作,单身,中学,否,否,是,未知,4,七月,316,1,-1,0,未知,否
3360,79,已退休,已婚,小学,否,否,否,座机,8,七月,1006,2,-1,0,未知,是
3361,53,技术人员,已婚,小学,否,是,否,手机,19,十一月,77,1,-1,0,未知,否
3362,21,学生,单身,中学,否,否,否,未知,9,五月,622,1,-1,0,未知,否
3363,33,蓝领,已婚,中学,否,是,否,未知,21,五月,494,2,-1,0,未知,否
3364,40,个体户,离异,中学,否,否,是,未知,20,六月,269,1,-1,0,未知,否
3365,34,企业家,已婚,中学,否,是,否,手机,9,四月,543,3,321,6,失败,否
3366,52,未知,已婚,小学,否,否,否,手机,29,七月,268,6,-1,0,未知,否
3367,27,行政,已婚,中学,否,否,否,手机,5,六月,397,1,-1,0,未知,是
3368,57,服务业,离异,中学,否,否,否,手机,21,十一月,22,4,114,1,失败,否
3369,51,个体户,离异,中学,否,是,否,未知,3,六月,51,2,-1,0,未知,否
3370,31,学生,单身,高等教育,否,否,否,手机,15,九月,208,1,105,2,成功,否
3371,49,没工作,已婚,高等教育,否,是,否,手机,20,十一月,77,3,185,7,失败,否
3372,32,管理者,单身,高等教育,否,是,是,未知,11,六月,450,2,-1,0,未知,否
3373,28,行政,单身,高等教育,否,否,否,手机,1,六月,201,1,-1,0,未知,否
3374,33,蓝领,已婚,中学,否,是,否,手机,17,四月,342,3,332,1,其他,否
3375,50,蓝领,已婚,未知,否,否,否,手机,20,八月,181,2,-1,0,未知,否
3376,42,蓝领,单身,中学,否,是,否,手机,13,五月,294,1,-1,0,未知,否
3377,45,行政,已婚,未知,否,否,否,手机,30,十一月,123,1,186,4,失败,否
3378,34,没工作,已婚,中学,否,是,否,手机,13,五月,172,1,-1,0,未知,否
3379,56,行政,离异,未知,否,是,否,手机,8,五月,1022,1,360,2,失败,否
3380,33,蓝领,单身,中学,否,是,否,手机,14,五月,123,1,360,3,其他,否
3381,34,行政,已婚,中学,否,是,否,未知,19,五月,420,1,-1,0,未知,否
3382,37,蓝领,已婚,未知,否,是,否,手机,13,四月,119,2,280,2,失败,否
3383,37,蓝领,已婚,中学,否,是,否,手机,12,五月,153,1,-1,0,未知,否
3384,35,行政,单身,中学,否,是,否,手机,11,五月,85,2,-1,0,未知,否
3385,38,未知,单身,高等教育,否,否,否,手机,11,九月,260,3,95,3,成功,是
3386,32,蓝领,已婚,中学,否,是,否,未知,5,五月,528,1,-1,0,未知,否
3387,52,技术人员,单身,高等教育,否,是,否,未知,29,五月,361,1,-1,0,未知,否
3388,49,服务业,已婚,中学,否,是,是,手机,21,十一月,59,4,-1,0,未知,否
3389,46,管理者,离异,中学,否,是,否,未知,19,五月,86,7,-1,0,未知,否
3390,42,企业家,已婚,小学,是,是,是,手机,6,二月,139,1,-1,0,未知,否
3391,36,蓝领,已婚,未知,否,是,否,未知,8,五月,219,4,-1,0,未知,否
3392,32,服务业,已婚,中学,否,是,否,座机,15,五月,45,2,-1,0,未知,否
3393,49,技术人员,已婚,高等教育,否,是,否,未知,19,五月,168,4,-1,0,未知,否
3394,46,服务业,已婚,中学,否,否,否,手机,30,四月,268,1,261,5,其他,是
3395,40,企业家,已婚,中学,否,是,否,未知,14,五月,210,2,-1,0,未知,否
3396,36,行政,已婚,中学,否,是,否,未知,20,五月,160,1,-1,0,未知,否
3397,36,行政,已婚,中学,否,是,否,未知,14,五月,1044,2,-1,0,未知,否
3398,34,技术人员,已婚,中学,否,否,是,手机,9,七月,601,1,-1,0,未知,否
3399,46,管理者,已婚,高等教育,否,是,否,未知,27,五月,89,1,-1,0,未知,否
3400,32,服务业,已婚,高等教育,否,否,是,手机,13,五月,491,2,-1,0,未知,否
3401,32,没工作,单身,高等教育,否,是,否,未知,8,五月,139,1,-1,0,未知,否
3402,32,管理者,单身,高等教育,否,否,否,未知,3,六月,267,3,-1,0,未知,否
3403,43,管理者,已婚,高等教育,否,否,是,手机,15,七月,88,3,-1,0,未知,否
3404,25,个体户,单身,高等教育,否,是,否,手机,17,七月,134,1,-1,0,未知,否
3405,55,行政,已婚,中学,否,是,否,未知,15,五月,126,2,-1,0,未知,否
3406,24,行政,单身,中学,否,是,是,手机,15,五月,191,1,-1,0,未知,否
3407,40,管理者,离异,高等教育,否,是,否,手机,3,二月,267,4,270,3,其他,否
3408,38,管理者,单身,高等教育,否,是,否,座机,20,四月,5,3,150,6,失败,否
3409,48,蓝领,单身,小学,否,否,否,未知,5,六月,560,2,-1,0,未知,否
3410,36,管理者,已婚,高等教育,否,是,否,手机,30,三月,138,8,-1,0,未知,否
3411,57,管理者,已婚,高等教育,否,否,否,手机,19,八月,188,4,-1,0,未知,否
3412,45,行政,已婚,中学,否,是,是,手机,15,五月,262,2,352,2,失败,否
3413,33,个体户,单身,高等教育,否,否,否,手机,19,八月,836,3,-1,0,未知,是
3414,38,技术人员,单身,中学,否,否,否,手机,29,八月,150,4,-1,0,未知,否
3415,26,服务业,单身,中学,是,是,否,手机,15,五月,44,2,-1,0,未知,否
3416,30,管理者,单身,高等教育,否,否,是,手机,31,七月,11,17,-1,0,未知,否
3417,55,服务业,离异,高等教育,否,是,否,座机,19,十一月,123,1,-1,0,未知,否
3418,34,蓝领,已婚,中学,否,是,是,未知,15,五月,150,2,-1,0,未知,否
3419,60,行政,已婚,中学,否,否,是,手机,30,一月,255,2,2,4,其他,否
3420,36,管理者,单身,高等教育,否,否,否,手机,18,八月,92,5,-1,0,未知,否
3421,65,保姆,已婚,小学,否,是,否,手机,4,九月,112,7,-1,0,未知,否
3422,39,个体户,已婚,高等教育,否,否,否,未知,6,六月,554,1,-1,0,未知,是
3423,52,蓝领,已婚,小学,否,否,否,手机,13,八月,109,2,-1,0,未知,否
3424,55,技术人员,已婚,中学,是,否,否,手机,2,二月,781,1,-1,0,未知,是
3425,26,管理者,单身,高等教育,否,否,否,手机,19,十月,116,1,-1,0,未知,否
3426,40,个体户,已婚,小学,否,是,否,手机,13,五月,363,1,173,24,其他,否
3427,52,企业家,已婚,中学,否,否,否,手机,7,八月,82,2,-1,0,未知,否
3428,29,个体户,已婚,高等教育,否,否,否,手机,18,七月,167,3,-1,0,未知,否
3429,41,蓝领,已婚,小学,否,是,否,手机,20,十一月,220,1,190,1,失败,否
3430,30,技术人员,单身,高等教育,否,是,否,手机,18,五月,546,1,-1,0,未知,否
3431,28,学生,单身,中学,否,否,否,手机,23,七月,1124,2,-1,0,未知,是
3432,26,蓝领,已婚,中学,否,是,否,未知,8,五月,141,1,-1,0,未知,否
3433,58,管理者,已婚,中学,否,否,否,手机,27,五月,188,1,161,2,其他,否
3434,29,管理者,单身,高等教育,否,是,否,手机,14,五月,107,4,371,3,失败,否
3435,48,技术人员,已婚,中学,否,是,否,未知,17,六月,320,4,-1,0,未知,否
3436,35,蓝领,已婚,中学,否,是,否,手机,15,四月,244,3,-1,0,未知,否
3437,26,服务业,单身,中学,否,是,否,手机,22,七月,319,2,-1,0,未知,否
3438,49,蓝领,已婚,未知,否,否,否,未知,16,六月,147,2,-1,0,未知,否
3439,34,行政,已婚,中学,否,否,否,手机,3,三月,114,6,467,5,其他,否
3440,32,服务业,已婚,中学,否,是,是,手机,18,十一月,400,2,-1,0,未知,否
3441,31,行政,已婚,中学,否,是,是,手机,18,十一月,79,3,-1,0,未知,否
3442,48,没工作,已婚,小学,否,否,否,未知,6,六月,29,4,-1,0,未知,否
3443,40,蓝领,已婚,中学,否,是,否,手机,20,十一月,97,2,-1,0,未知,否
3444,42,技术人员,离异,中学,否,是,否,未知,21,五月,187,5,-1,0,未知,否
3445,48,技术人员,已婚,中学,否,否,否,未知,14,五月,201,1,-1,0,未知,否
3446,38,服务业,已婚,中学,否,否,否,手机,2,二月,280,1,75,1,失败,否
3447,53,管理者,已婚,高等教育,否,否,否,未知,30,五月,150,1,-1,0,未知,否
3448,59,已退休,离异,中学,否,否,否,手机,24,七月,129,1,-1,0,未知,否
3449,28,没工作,单身,中学,否,否,否,手机,14,六月,516,1,-1,0,未知,否
3450,41,蓝领,已婚,小学,否,是,否,未知,16,六月,127,2,-1,0,未知,否
3451,50,管理者,单身,小学,否,否,否,未知,17,六月,174,2,-1,0,未知,否
3452,31,行政,已婚,中学,否,是,否,手机,29,七月,82,5,-1,0,未知,否
3453,30,技术人员,单身,中学,否,是,否,未知,3,六月,1516,2,-1,0,未知,否
3454,59,行政,离异,中学,否,是,否,未知,16,五月,204,1,-1,0,未知,否
3455,33,技术人员,离异,中学,是,否,是,未知,9,五月,109,1,-1,0,未知,否
3456,35,个体户,已婚,中学,否,否,否,手机,9,七月,378,1,-1,0,未知,否
3457,30,管理者,单身,高等教育,否,是,否,未知,27,五月,152,11,-1,0,未知,否
3458,71,已退休,已婚,中学,否,否,否,手机,17,二月,185,1,-1,0,未知,是
3459,30,服务业,单身,小学,否,是,否,手机,15,五月,317,1,-1,0,未知,否
3460,24,服务业,已婚,中学,是,是,否,未知,23,五月,27,1,-1,0,未知,否
3461,34,技术人员,单身,中学,否,否,否,手机,20,十一月,205,6,-1,0,未知,否
3462,34,蓝领,已婚,中学,否,是,否,座机,19,十一月,46,1,182,2,失败,否
3463,52,行政,已婚,中学,否,否,否,手机,28,一月,978,2,189,1,其他,否
3464,33,个体户,单身,中学,否,是,是,手机,5,二月,45,5,-1,0,未知,否
3465,38,蓝领,已婚,中学,否,是,否,未知,17,六月,145,6,-1,0,未知,否
3466,41,行政,离异,中学,否,是,否,手机,28,一月,138,1,-1,0,未知,否
3467,42,管理者,离异,高等教育,否,是,否,未知,7,五月,720,2,-1,0,未知,否
3468,38,蓝领,离异,中学,否,否,是,未知,18,六月,362,1,-1,0,未知,否
3469,48,蓝领,已婚,小学,否,是,否,手机,18,五月,90,6,-1,0,未知,否
3470,34,技术人员,单身,中学,否,是,是,未知,16,五月,214,1,-1,0,未知,否
3471,46,蓝领,已婚,小学,否,是,否,手机,14,五月,142,3,259,17,失败,否
3472,33,技术人员,已婚,中学,否,是,否,未知,29,五月,241,3,-1,0,未知,否
3473,40,管理者,已婚,高等教育,否,是,是,座机,9,二月,148,6,-1,0,未知,否
3474,36,行政,已婚,中学,否,否,否,未知,19,六月,227,6,-1,0,未知,否
3475,32,技术人员,单身,中学,否,否,否,手机,21,八月,126,2,-1,0,未知,否
3476,33,蓝领,已婚,中学,否,是,否,未知,28,五月,410,1,-1,0,未知,否
3477,55,技术人员,已婚,未知,否,是,否,手机,29,一月,243,2,-1,0,未知,否
3478,58,管理者,已婚,小学,否,是,否,未知,30,五月,171,2,-1,0,未知,否
3479,25,技术人员,单身,高等教育,否,是,否,未知,15,五月,147,1,-1,0,未知,否
3480,47,服务业,已婚,中学,否,是,否,未知,12,六月,91,1,-1,0,未知,否
3481,40,没工作,已婚,中学,否,是,否,手机,19,十一月,332,1,183,1,失败,否
3482,59,已退休,已婚,中学,否,是,否,手机,25,七月,471,2,-1,0,未知,否
3483,40,管理者,已婚,高等教育,否,否,否,座机,4,五月,364,1,355,1,其他,否
3484,30,管理者,已婚,中学,否,是,是,手机,7,五月,98,1,167,2,失败,否
3485,25,企业家,单身,高等教育,否,是,是,手机,15,五月,117,2,-1,0,未知,否
3486,58,已退休,已婚,小学,否,否,否,座机,14,七月,185,4,-1,0,未知,否
3487,39,企业家,已婚,未知,否,是,否,座机,15,五月,59,3,367,1,其他,否
3488,40,个体户,已婚,高等教育,否,否,否,手机,18,十一月,147,3,-1,0,未知,否
3489,38,蓝领,已婚,中学,否,是,是,未知,23,五月,553,2,-1,0,未知,否
3490,66,管理者,单身,高等教育,否,否,否,手机,13,八月,275,1,-1,0,未知,否
3491,47,管理者,已婚,高等教育,否,否,否,座机,6,八月,239,4,-1,0,未知,是
3492,37,蓝领,已婚,中学,否,是,否,未知,2,六月,402,9,-1,0,未知,否
3493,36,管理者,单身,高等教育,否,是,是,手机,7,五月,172,1,93,1,失败,否
3494,50,蓝领,已婚,小学,否,否,否,手机,19,八月,195,2,-1,0,未知,否
3495,76,已退休,已婚,小学,否,否,否,座机,9,二月,68,12,-1,0,未知,否
3496,58,管理者,单身,高等教育,否,否,是,手机,28,七月,82,3,-1,0,未知,否
3497,42,行政,已婚,中学,否,是,否,未知,5,六月,57,6,-1,0,未知,否
3498,58,服务业,离异,中学,否,否,否,手机,13,十一月,495,1,93,1,成功,是
3499,28,个体户,单身,高等教育,否,是,否,手机,21,七月,479,1,-1,0,未知,否
3500,41,技术人员,已婚,中学,否,否,否,手机,29,八月,141,2,-1,0,未知,否
3501,30,管理者,已婚,高等教育,否,否,否,手机,19,八月,82,4,-1,0,未知,否
3502,32,管理者,离异,高等教育,否,是,否,手机,10,十二月,798,1,185,5,其他,是
3503,27,服务业,单身,中学,否,否,是,手机,7,七月,232,1,-1,0,未知,否
3504,48,管理者,已婚,高等教育,否,否,否,手机,26,八月,60,5,-1,0,未知,否
3505,36,技术人员,已婚,高等教育,否,是,否,未知,8,五月,103,3,-1,0,未知,否
3506,54,管理者,已婚,高等教育,否,否,是,手机,8,七月,443,1,-1,0,未知,否
3507,36,蓝领,已婚,中学,否,是,否,未知,9,五月,400,2,-1,0,未知,否
3508,52,保姆,已婚,中学,否,否,否,未知,5,六月,132,1,-1,0,未知,否
3509,34,技术人员,离异,中学,否,是,是,手机,18,八月,374,16,-1,0,未知,否
3510,43,技术人员,已婚,中学,否,否,否,手机,25,八月,363,7,-1,0,未知,是
3511,32,管理者,单身,高等教育,否,否,否,手机,8,八月,111,2,-1,0,未知,否
3512,33,管理者,单身,高等教育,否,否,否,手机,29,八月,130,4,-1,0,未知,否
3513,51,保姆,已婚,未知,否,否,否,座机,29,七月,308,3,-1,0,未知,否
3514,39,没工作,已婚,中学,否,是,否,未知,3,六月,116,1,-1,0,未知,否
3515,44,管理者,单身,高等教育,否,否,否,手机,9,七月,160,2,-1,0,未知,否
3516,49,保姆,离异,小学,否,是,否,未知,13,五月,205,3,-1,0,未知,否
3517,25,技术人员,已婚,高等教育,否,是,否,手机,12,五月,185,2,-1,0,未知,否
3518,39,个体户,已婚,中学,否,是,否,手机,20,十一月,61,2,181,4,失败,否
3519,54,技术人员,已婚,中学,否,否,否,座机,14,八月,159,2,106,6,成功,否
3520,32,管理者,单身,高等教育,否,是,否,手机,18,五月,213,1,264,6,失败,否
3521,36,管理者,已婚,高等教育,否,是,否,未知,20,五月,294,15,-1,0,未知,否
3522,54,技术人员,已婚,中学,否,是,否,手机,10,七月,140,3,-1,0,未知,否
3523,31,技术人员,已婚,中学,否,是,是,手机,28,一月,71,1,223,9,其他,否
3524,45,服务业,已婚,中学,否,否,是,手机,8,七月,47,7,-1,0,未知,否
3525,31,行政,单身,中学,否,是,否,手机,16,四月,570,2,-1,0,未知,否
3526,45,技术人员,已婚,中学,否,是,否,手机,14,七月,287,2,-1,0,未知,否
3527,33,服务业,离异,中学,否,是,否,手机,23,十月,130,1,161,1,失败,是
3528,46,管理者,离异,高等教育,否,是,否,手机,14,五月,201,1,345,1,其他,否
3529,43,未知,单身,高等教育,否,否,否,手机,21,十一月,11,7,-1,0,未知,否
3530,50,管理者,已婚,高等教育,否,是,否,手机,4,十一月,70,5,85,5,其他,否
3531,44,管理者,离异,高等教育,否,否,否,手机,22,八月,54,2,-1,0,未知,否
3532,42,服务业,已婚,中学,否,是,否,未知,27,五月,22,16,-1,0,未知,否
3533,26,蓝领,单身,中学,否,否,否,手机,30,七月,103,3,-1,0,未知,否
3534,47,行政,单身,中学,否,是,否,手机,6,四月,104,1,312,1,失败,否
3535,48,蓝领,已婚,小学,否,否,否,座机,18,八月,29,2,-1,0,未知,否
3536,60,蓝领,已婚,未知,否,是,否,未知,12,五月,57,2,-1,0,未知,否
3537,27,行政,离异,中学,否,是,否,未知,4,六月,236,1,-1,0,未知,否
3538,30,没工作,单身,高等教育,否,否,否,手机,11,二月,528,3,-1,0,未知,是
3539,28,行政,单身,中学,否,是,否,手机,31,七月,68,2,-1,0,未知,否
3540,58,已退休,已婚,小学,否,否,否,座机,7,七月,876,1,-1,0,未知,是
3541,37,企业家,已婚,高等教育,否,否,否,手机,1,九月,76,1,-1,0,未知,否
3542,36,服务业,已婚,中学,否,是,否,未知,26,五月,99,1,-1,0,未知,否
3543,39,技术人员,已婚,中学,否,是,否,手机,18,五月,122,3,357,4,失败,否
3544,52,没工作,已婚,小学,否,否,是,手机,29,一月,141,1,-1,0,未知,否
3545,55,已退休,已婚,中学,否,是,是,未知,29,五月,58,2,-1,0,未知,否
3546,30,管理者,单身,高等教育,否,否,否,手机,30,三月,78,3,-1,0,未知,否
3547,36,蓝领,单身,中学,否,是,否,未知,3,六月,435,3,-1,0,未知,否
3548,39,行政,已婚,中学,否,否,否,手机,15,五月,123,2,364,1,失败,否
3549,47,蓝领,已婚,小学,否,否,是,座机,28,七月,210,3,-1,0,未知,否
3550,42,保姆,单身,小学,否,是,否,未知,15,五月,54,2,-1,0,未知,否
3551,42,管理者,已婚,中学,否,是,否,未知,20,五月,138,4,-1,0,未知,否
3552,58,已退休,已婚,中学,否,否,否,手机,29,七月,336,7,-1,0,未知,否
3553,68,已退休,已婚,中学,否,是,否,手机,4,八月,249,1,-1,0,未知,是
3554,43,技术人员,已婚,中学,否,否,否,未知,28,五月,63,1,-1,0,未知,否
3555,44,蓝领,已婚,中学,否,是,否,未知,5,五月,257,1,-1,0,未知,否
3556,49,技术人员,已婚,高等教育,否,否,否,手机,5,八月,875,2,-1,0,未知,是
3557,57,已退休,已婚,高等教育,否,是,是,未知,14,五月,191,2,-1,0,未知,否
3558,61,个体户,离异,高等教育,否,否,否,手机,24,二月,481,2,-1,0,未知,是
3559,36,行政,单身,中学,否,是,否,手机,18,五月,120,2,-1,0,未知,否
3560,31,蓝领,已婚,中学,否,是,是,手机,13,五月,207,1,-1,0,未知,否
3561,51,技术人员,已婚,高等教育,否,否,否,座机,5,六月,303,2,-1,0,未知,否
3562,31,技术人员,单身,高等教育,否,否,否,手机,21,八月,93,2,-1,0,未知,否
3563,56,蓝领,已婚,小学,否,否,否,手机,3,二月,128,1,-1,0,未知,否
3564,30,技术人员,单身,高等教育,否,否,是,手机,21,八月,194,2,-1,0,未知,否
3565,38,服务业,已婚,中学,否,是,是,未知,30,五月,408,2,-1,0,未知,否
3566,35,服务业,已婚,中学,否,是,否,手机,31,七月,5,3,-1,0,未知,否
3567,31,蓝领,已婚,未知,否,是,否,手机,17,七月,231,2,-1,0,未知,否
3568,39,行政,离异,中学,否,是,否,未知,20,六月,20,3,-1,0,未知,否
3569,50,管理者,已婚,高等教育,否,是,否,手机,14,一月,218,3,161,9,其他,否
3570,39,技术人员,已婚,高等教育,否,否,否,未知,23,七月,36,2,-1,0,未知,否
3571,26,行政,已婚,中学,否,否,否,手机,16,七月,136,8,-1,0,未知,否
3572,55,技术人员,已婚,中学,否,否,否,手机,19,十一月,336,1,-1,0,未知,否
3573,43,蓝领,离异,小学,否,否,是,手机,8,七月,192,1,-1,0,未知,否
3574,34,保姆,已婚,高等教育,否,否,否,手机,26,五月,141,1,188,1,失败,否
3575,51,个体户,已婚,小学,否,是,是,未知,17,六月,65,2,-1,0,未知,否
3576,31,管理者,已婚,高等教育,否,是,否,手机,30,一月,203,2,2,3,其他,否
3577,32,管理者,已婚,高等教育,否,否,否,手机,26,八月,104,9,-1,0,未知,否
3578,53,技术人员,已婚,中学,否,是,否,未知,14,五月,230,1,-1,0,未知,否
3579,44,管理者,离异,高等教育,否,否,否,手机,10,八月,71,1,-1,0,未知,否
3580,38,企业家,已婚,高等教育,否,是,否,未知,21,五月,205,2,-1,0,未知,否
3581,47,个体户,已婚,高等教育,否,是,否,未知,14,五月,162,1,-1,0,未知,否
3582,36,管理者,已婚,高等教育,否,是,否,未知,27,五月,145,2,-1,0,未知,否
3583,30,管理者,单身,高等教育,否,是,否,未知,3,六月,220,2,-1,0,未知,否
3584,46,蓝领,已婚,中学,否,是,否,座机,6,五月,309,3,355,4,失败,否
3585,33,企业家,已婚,中学,否,是,是,未知,27,五月,421,3,-1,0,未知,否
3586,43,蓝领,已婚,中学,否,否,否,手机,8,九月,261,1,98,1,成功,是
3587,38,管理者,已婚,高等教育,否,否,否,手机,13,八月,132,2,-1,0,未知,否
3588,27,技术人员,单身,中学,否,否,否,手机,30,七月,273,1,91,1,其他,否
